epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1538.87,0.66528,0.3982,0.01065,0.79378,0.80585,0.84656,0.62912,0.92316,0.78349,0.01756,0.000759318,0.000759318,0.000759318
57,1566.02,0.66169,0.40408,0.01021,0.79651,0.77603,0.83145,0.61999,0.96162,0.82441,0.01901,0.000742815,0.000742815,0.000742815
58,1593.12,0.66565,0.39325,0.00947,0.79001,0.77787,0.84737,0.63086,0.87003,0.7346,0.01635,0.000726312,0.000726312,0.000726312
59,1620.25,0.67154,0.38967,0.00959,0.82147,0.76433,0.83959,0.64519,0.91066,0.82317,0.01748,0.000709809,0.000709809,0.000709809
60,1647.48,0.64913,0.41425,0.00994,0.84643,0.77825,0.84228,0.62365,0.94204,0.80081,0.01895,0.000693305,0.000693305,0.000693305
61,1674.55,0.65305,0.38376,0.01,0.82358,0.77924,0.84475,0.62245,0.97093,0.75712,0.01972,0.000676802,0.000676802,0.000676802
62,1701.71,0.66866,0.38112,0.00897,0.84736,0.75794,0.84696,0.62507,0.91817,0.74753,0.01648,0.000660299,0.000660299,0.000660299
63,1728.76,0.64375,0.37847,0.00928,0.85648,0.75401,0.83763,0.64138,0.88432,0.82037,0.01601,0.000643795,0.000643795,0.000643795
64,1755.83,0.64639,0.36766,0.00903,0.8188,0.7848,0.83471,0.62874,0.91837,0.75052,0.01706,0.000627292,0.000627292,0.000627292
65,1782.91,0.63734,0.39272,0.00938,0.87234,0.72843,0.82197,0.61812,0.96855,0.8519,0.01958,0.000610789,0.000610789,0.000610789
66,1809.89,0.61921,0.34017,0.00866,0.84763,0.7722,0.83793,0.61991,0.91104,0.88067,0.01779,0.000594286,0.000594286,0.000594286
67,1836.85,0.61738,0.35353,0.00896,0.90712,0.72068,0.82032,0.61644,0.9326,0.87974,0.01732,0.000577782,0.000577782,0.000577782
68,1863.87,0.64341,0.35842,0.00921,0.8921,0.72834,0.83757,0.62849,0.90099,0.8591,0.0172,0.000561279,0.000561279,0.000561279
69,1890.91,0.59459,0.34885,0.00895,0.87387,0.71046,0.81798,0.60896,0.88492,0.94517,0.01663,0.000544776,0.000544776,0.000544776
70,1919.24,0.6194,0.35476,0.00847,0.86832,0.75811,0.84076,0.63281,0.90263,0.81106,0.0164,0.000528272,0.000528272,0.000528272
71,1946.23,0.60338,0.33772,0.00907,0.82832,0.75651,0.81693,0.61521,0.93244,0.89113,0.01796,0.000511769,0.000511769,0.000511769
72,1973.19,0.59298,0.36288,0.0087,0.85936,0.75199,0.82334,0.63195,0.90425,0.86358,0.01667,0.000495266,0.000495266,0.000495266
73,2000.19,0.60713,0.36584,0.00882,0.82157,0.76516,0.81652,0.61855,0.91427,0.83901,0.01772,0.000478762,0.000478762,0.000478762
74,2027.18,0.6038,0.33745,0.00917,0.86605,0.76898,0.82428,0.64153,0.89102,0.83233,0.01632,0.000462259,0.000462259,0.000462259
75,2054.2,0.61879,0.34871,0.0079,0.82362,0.77133,0.8432,0.62326,0.87599,0.82252,0.01673,0.000445756,0.000445756,0.000445756
76,2081.23,0.63496,0.36074,0.00892,0.91444,0.74764,0.82945,0.64496,0.85729,0.77082,0.015,0.000429253,0.000429253,0.000429253
77,2108.22,0.5795,0.33484,0.0083,0.90253,0.74242,0.83512,0.64693,0.87315,0.78359,0.01539,0.000412749,0.000412749,0.000412749
78,2135.15,0.56783,0.33103,0.00831,0.89497,0.73737,0.82257,0.63499,0.86643,0.84129,0.01525,0.000396246,0.000396246,0.000396246
79,2162.23,0.59326,0.3349,0.0083,0.86424,0.75697,0.84575,0.64118,0.89695,0.80052,0.01601,0.000379743,0.000379743,0.000379743
