epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1137.6,0.65515,0.38074,0.00914,0.88223,0.82576,0.88058,0.68751,0.85426,0.74663,0.01591,0.000528272,0.000528272,0.000528272
71,1153.62,0.68432,0.40061,0.00909,0.89587,0.81823,0.88679,0.69196,0.88207,0.67814,0.01763,0.000511769,0.000511769,0.000511769
72,1169.69,0.66268,0.39431,0.00921,0.84151,0.85448,0.87775,0.69138,0.87872,0.69242,0.01727,0.000495266,0.000495266,0.000495266
73,1185.7,0.65787,0.39287,0.00919,0.90069,0.82333,0.89058,0.70552,0.84515,0.70197,0.01623,0.000478762,0.000478762,0.000478762
74,1201.72,0.62777,0.34632,0.00879,0.9073,0.80162,0.90008,0.7222,0.7779,0.67375,0.01455,0.000462259,0.000462259,0.000462259
75,1217.89,0.65694,0.37972,0.00838,0.87081,0.84864,0.89437,0.71049,0.79512,0.70079,0.01505,0.000445756,0.000445756,0.000445756
76,1233.96,0.66843,0.35384,0.00869,0.82142,0.82272,0.85307,0.69436,0.78866,0.7778,0.01494,0.000429253,0.000429253,0.000429253
77,1250.02,0.63461,0.38328,0.00866,0.84641,0.80844,0.86455,0.70812,0.76283,0.75109,0.01378,0.000412749,0.000412749,0.000412749
78,1266.06,0.65172,0.36162,0.00886,0.87901,0.81872,0.87016,0.69267,0.80275,0.72634,0.01401,0.000396246,0.000396246,0.000396246
79,1282.15,0.60775,0.34264,0.00821,0.84927,0.84111,0.87258,0.70022,0.78764,0.72334,0.01388,0.000379743,0.000379743,0.000379743
80,1298.3,0.60281,0.3465,0.0087,0.87803,0.84233,0.89791,0.71231,0.805,0.61326,0.01407,0.000363239,0.000363239,0.000363239
81,1314.37,0.60212,0.32893,0.00821,0.87416,0.84815,0.90393,0.72252,0.7963,0.65514,0.01435,0.000346736,0.000346736,0.000346736
82,1330.47,0.61837,0.35529,0.00819,0.85503,0.83826,0.88718,0.70773,0.81254,0.74597,0.015,0.000330233,0.000330233,0.000330233
83,1346.54,0.59504,0.34405,0.00857,0.88843,0.78219,0.86941,0.71162,0.75922,0.77381,0.01339,0.000313729,0.000313729,0.000313729
84,1362.68,0.61016,0.37728,0.00872,0.84583,0.83967,0.89764,0.72026,0.77661,0.69532,0.01415,0.000297226,0.000297226,0.000297226
85,1378.69,0.5933,0.3351,0.00795,0.86716,0.81691,0.89715,0.71902,0.80229,0.70999,0.0154,0.000280723,0.000280723,0.000280723
86,1394.67,0.55686,0.31324,0.008,0.86803,0.83892,0.88807,0.71585,0.75955,0.73587,0.01376,0.00026422,0.00026422,0.00026422
87,1410.77,0.57216,0.31022,0.00783,0.88373,0.81957,0.89062,0.71731,0.79679,0.73688,0.01472,0.000247716,0.000247716,0.000247716
88,1426.9,0.58562,0.30511,0.00785,0.88417,0.8111,0.89357,0.72153,0.78579,0.68658,0.01442,0.000231213,0.000231213,0.000231213
89,1442.97,0.56917,0.31851,0.00824,0.87187,0.8312,0.8882,0.7249,0.7849,0.68826,0.01419,0.00021471,0.00021471,0.00021471
90,1459.16,0.5555,0.30993,0.00771,0.88432,0.83042,0.89198,0.72704,0.77689,0.68731,0.01366,0.000198206,0.000198206,0.000198206
91,1475.44,0.5542,0.31783,0.00975,0.90682,0.8312,0.89631,0.7257,0.78031,0.63494,0.01352,0.000181703,0.000181703,0.000181703
92,1491.35,0.5228,0.24474,0.00901,0.90876,0.8461,0.8917,0.71885,0.78689,0.64955,0.01366,0.0001652,0.0001652,0.0001652
93,1507.26,0.49476,0.26023,0.00845,0.88741,0.86064,0.88755,0.70667,0.80367,0.64509,0.01437,0.000148696,0.000148696,0.000148696
94,1523.18,0.49765,0.24131,0.00822,0.88255,0.83846,0.88315,0.70964,0.79032,0.65971,0.01388,0.000132193,0.000132193,0.000132193
95,1539.17,0.49203,0.23463,0.00843,0.91414,0.82299,0.87944,0.70609,0.79172,0.66736,0.01372,0.00011569,0.00011569,0.00011569
96,1555.2,0.50685,0.23852,0.00862,0.91779,0.82538,0.87863,0.70541,0.79096,0.66146,0.01394,9.91865e-05,9.91865e-05,9.91865e-05
97,1571.13,0.47329,0.21587,0.00771,0.89095,0.81531,0.87505,0.70685,0.78759,0.67629,0.01375,8.26832e-05,8.26832e-05,8.26832e-05
98,1587,0.46988,0.21719,0.00803,0.88762,0.83122,0.88196,0.7058,0.78575,0.67784,0.01378,6.61799e-05,6.61799e-05,6.61799e-05
99,1602.85,0.48594,0.228,0.00773,0.8986,0.83179,0.8784,0.70718,0.7928,0.67082,0.01415,4.96766e-05,4.96766e-05,4.96766e-05
100,1618.82,0.49658,0.23016,0.00769,0.91414,0.83559,0.87874,0.70126,0.78711,0.66966,0.01374,3.31733e-05,3.31733e-05,3.31733e-05
