epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,637.44,0.92579,0.48984,0.00845,0.89468,0.89143,0.94157,0.66503,1.10307,0.50618,0.01411,0.000627292,0.000627292,0.000627292
65,646.844,0.88002,0.48448,0.00702,0.91024,0.88355,0.93677,0.67509,1.06125,0.52842,0.01321,0.000610789,0.000610789,0.000610789
66,656.319,0.87254,0.4768,0.00746,0.88889,0.87892,0.94521,0.68597,1.072,0.49921,0.01378,0.000594286,0.000594286,0.000594286
67,665.772,0.92263,0.51279,0.00771,0.963,0.84338,0.94617,0.67314,1.12346,0.45221,0.01481,0.000577782,0.000577782,0.000577782
68,675.159,0.93005,0.51313,0.00764,0.87133,0.88188,0.91965,0.67741,1.05158,0.51545,0.0126,0.000561279,0.000561279,0.000561279
69,684.559,0.86134,0.47209,0.00755,0.88539,0.87578,0.91485,0.67152,1.05498,0.56496,0.01327,0.000544776,0.000544776,0.000544776
70,693.88,0.87641,0.47183,0.0085,0.87385,0.94571,0.93495,0.68153,1.04614,0.5293,0.0124,0.000528272,0.000528272,0.000528272
71,703.27,0.87682,0.46823,0.00759,0.85625,0.89871,0.91923,0.65529,1.09855,0.65319,0.01346,0.000511769,0.000511769,0.000511769
72,712.643,0.85889,0.46692,0.00768,0.8838,0.87009,0.93511,0.67696,1.05856,0.52095,0.01278,0.000495266,0.000495266,0.000495266
73,722.024,0.83715,0.41182,0.00676,0.93754,0.89709,0.95146,0.67729,1.11681,0.46505,0.01332,0.000478762,0.000478762,0.000478762
74,731.413,0.89032,0.46909,0.00703,0.90276,0.91586,0.94625,0.69657,0.99242,0.4607,0.01158,0.000462259,0.000462259,0.000462259
75,740.905,0.86549,0.41706,0.00652,0.90496,0.88984,0.95389,0.66866,1.17808,0.48428,0.01455,0.000445756,0.000445756,0.000445756
76,750.315,0.88792,0.43523,0.00689,0.93034,0.90836,0.95072,0.69651,1.05342,0.41702,0.01239,0.000429253,0.000429253,0.000429253
77,759.8,0.84391,0.41469,0.00656,0.92284,0.89826,0.95268,0.69592,1.08317,0.41393,0.01335,0.000412749,0.000412749,0.000412749
78,769.265,0.82442,0.42839,0.00676,0.94806,0.89929,0.9593,0.715,1.05319,0.37598,0.01271,0.000396246,0.000396246,0.000396246
79,778.891,0.84209,0.41423,0.00666,0.9394,0.87346,0.95402,0.68195,1.15896,0.42908,0.01413,0.000379743,0.000379743,0.000379743
80,788.315,0.8628,0.41685,0.00638,0.94759,0.91045,0.95973,0.68773,1.0778,0.38697,0.01314,0.000363239,0.000363239,0.000363239
81,797.706,0.80562,0.37351,0.00669,0.92485,0.91655,0.95559,0.68978,1.09501,0.48032,0.014,0.000346736,0.000346736,0.000346736
82,807.104,0.80375,0.45859,0.00657,0.93314,0.91235,0.95474,0.67336,1.16566,0.46353,0.0146,0.000330233,0.000330233,0.000330233
83,816.527,0.79471,0.40362,0.00641,0.8915,0.91743,0.94905,0.70261,1.05193,0.48384,0.01318,0.000313729,0.000313729,0.000313729
84,825.931,0.81783,0.40317,0.00626,0.90494,0.89617,0.94309,0.66959,1.10656,0.5036,0.01372,0.000297226,0.000297226,0.000297226
85,835.328,0.80103,0.39712,0.00596,0.89064,0.91351,0.95239,0.68406,1.04929,0.48362,0.01259,0.000280723,0.000280723,0.000280723
86,844.73,0.75184,0.40324,0.00612,0.95033,0.87855,0.95022,0.68381,1.07381,0.50544,0.0131,0.00026422,0.00026422,0.00026422
87,854.16,0.7938,0.39659,0.00642,0.92936,0.88519,0.93655,0.66682,1.12433,0.61028,0.014,0.000247716,0.000247716,0.000247716
88,863.548,0.79331,0.41462,0.00612,0.94909,0.88188,0.93694,0.68725,1.05938,0.5401,0.01349,0.000231213,0.000231213,0.000231213
89,872.948,0.78995,0.41293,0.00645,0.94028,0.85994,0.94892,0.69679,1.0474,0.45725,0.01344,0.00021471,0.00021471,0.00021471
90,882.396,0.77531,0.39185,0.00589,0.94477,0.87178,0.94307,0.68046,1.06782,0.57622,0.01303,0.000198206,0.000198206,0.000198206
91,892.465,0.65719,0.32037,0.00711,0.89786,0.90226,0.93729,0.6746,1.07137,0.59704,0.01267,0.000181703,0.000181703,0.000181703
92,901.848,0.68044,0.2888,0.00781,0.92189,0.90664,0.94839,0.69182,1.04562,0.50876,0.01271,0.0001652,0.0001652,0.0001652
93,911.213,0.63191,0.26538,0.00702,0.9231,0.92875,0.95461,0.70458,1.05678,0.42723,0.01316,0.000148696,0.000148696,0.000148696
94,920.573,0.70041,0.34021,0.0084,0.93981,0.92875,0.95761,0.69753,1.05923,0.40718,0.01327,0.000132193,0.000132193,0.000132193
95,929.929,0.63649,0.24404,0.00613,0.9128,0.93814,0.96061,0.69634,1.07593,0.4016,0.0134,0.00011569,0.00011569,0.00011569
96,939.299,0.65449,0.28476,0.00675,0.93611,0.91655,0.95998,0.70811,1.04189,0.40535,0.01284,9.91865e-05,9.91865e-05,9.91865e-05
97,948.608,0.66017,0.26848,0.00619,0.9418,0.91345,0.96241,0.71167,1.02861,0.40369,0.01258,8.26832e-05,8.26832e-05,8.26832e-05
98,957.955,0.6226,0.2401,0.00589,0.95315,0.91446,0.96279,0.71155,1.0155,0.40094,0.01219,6.61799e-05,6.61799e-05,6.61799e-05
99,967.354,0.61512,0.23566,0.00609,0.93833,0.91936,0.96259,0.71029,1.01645,0.40685,0.01213,4.96766e-05,4.96766e-05,4.96766e-05
100,976.731,0.63775,0.24051,0.00649,0.93126,0.94303,0.96356,0.71073,1.02375,0.40078,0.01223,3.31733e-05,3.31733e-05,3.31733e-05
