epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,229.244,1.55127,2.15101,1.09778,0.0228,1.34946,0.72793,0.55172,0.63997,0.37019,0.60142,0.55172,0.57609,0.27745,1.64855,2.19831,1.23826,0.02969,0,0.0010298,0.0010298,0.0010298
51,233.808,1.55581,2.23056,1.13364,0.02254,1.37416,0.62344,0.51724,0.52739,0.30364,0.52028,0.46552,0.47999,0.22152,1.67784,2.13089,1.28107,0.03051,0,0.00101,0.00101,0.00101
52,238.145,1.59791,2.13765,1.11595,0.02286,1.36176,0.81621,0.56034,0.6902,0.41333,0.74494,0.50358,0.59299,0.28682,1.72784,2.16588,1.04234,0.0328,0,0.0009902,0.0009902,0.0009902
53,242.464,1.55059,2.14197,1.08964,0.02289,1.35041,0.77487,0.60345,0.66553,0.35016,0.68871,0.58621,0.57698,0.254,1.69167,2.2496,1.107,0.0306,0,0.0009704,0.0009704,0.0009704
54,246.868,1.58412,2.11398,1.07899,0.02269,1.30857,0.72507,0.59115,0.64943,0.37141,0.68505,0.52586,0.57658,0.24832,1.50064,2.13247,1.31335,0.02728,0,0.0009506,0.0009506,0.0009506
55,251.199,1.52723,2.11191,1.08471,0.02239,1.35692,0.7051,0.5431,0.64036,0.39744,0.71728,0.46552,0.58278,0.26899,1.59392,2.35772,1.25994,0.02925,0,0.0009308,0.0009308,0.0009308
56,255.557,1.55876,2.07577,1.06787,0.02242,1.31321,0.82272,0.59483,0.68181,0.38368,0.75866,0.53448,0.58167,0.25233,1.66314,2.13208,1.18814,0.0292,0,0.000911,0.000911,0.000911
57,259.92,1.5701,2.12117,1.06246,0.02221,1.32615,0.65792,0.67241,0.6708,0.41597,0.57474,0.61752,0.56296,0.26605,1.40797,2.15899,1.19891,0.02377,0,0.0008912,0.0008912,0.0008912
58,264.692,1.58619,2.07153,1.04952,0.02269,1.29799,0.74437,0.65269,0.68685,0.35452,0.68821,0.57087,0.61336,0.27987,1.76153,2.08659,1.36059,0.03242,0,0.0008714,0.0008714,0.0008714
59,269.467,1.56002,2.13262,1.05092,0.02256,1.30892,0.74234,0.60345,0.65497,0.34941,0.67653,0.56034,0.55478,0.27551,1.61655,2.1164,1.28836,0.02911,0,0.0008516,0.0008516,0.0008516
60,274.073,1.49472,2.11906,1.02574,0.02147,1.27489,0.78046,0.62069,0.68749,0.38953,0.66525,0.58621,0.55671,0.26376,1.57929,2.3104,1.24218,0.02847,0,0.0008318,0.0008318,0.0008318
61,278.495,1.51062,2.05415,1.00574,0.02143,1.28245,0.7594,0.63793,0.69126,0.41289,0.67848,0.60345,0.6221,0.27647,1.47143,2.15237,1.16648,0.02491,0,0.000812,0.000812,0.000812
62,282.812,1.56525,2.10481,1.03113,0.02242,1.30664,0.76598,0.62077,0.67869,0.3939,0.64442,0.57759,0.59438,0.2728,1.472,2.22835,1.30781,0.02646,0,0.0007922,0.0007922,0.0007922
63,287.168,1.48038,1.99221,0.99367,0.02092,1.20036,0.75529,0.66379,0.68878,0.37887,0.6789,0.57759,0.58332,0.28245,1.53023,2.19127,1.25613,0.02726,0,0.0007724,0.0007724,0.0007724
64,291.617,1.50133,2.05074,1.01797,0.02156,1.24818,0.80939,0.65517,0.7208,0.44067,0.77092,0.58024,0.63244,0.29483,1.52665,2.38495,1.0391,0.02795,0,0.0007526,0.0007526,0.0007526
65,296.167,1.48249,2.02098,0.98979,0.0215,1.22739,0.81789,0.65517,0.724,0.45551,0.77528,0.62069,0.64115,0.28077,1.50746,2.21857,0.94736,0.02725,0,0.0007328,0.0007328,0.0007328
66,300.762,1.47932,2.07377,1.02264,0.02132,1.27419,0.84764,0.59483,0.69244,0.41979,0.68907,0.59226,0.58502,0.28539,1.51113,2.12789,1.03217,0.0266,0,0.000713,0.000713,0.000713
67,305.022,1.47823,2.05289,0.99342,0.02096,1.24896,0.85692,0.65517,0.70661,0.43056,0.80327,0.61207,0.62055,0.27884,1.54347,2.10108,1.10611,0.0288,0,0.0006932,0.0006932,0.0006932
68,309.32,1.55456,2.05796,1.02445,0.022,1.22422,0.80831,0.61801,0.69423,0.42155,0.73292,0.56034,0.59411,0.27738,1.50488,2.21901,1.11775,0.02631,0,0.0006734,0.0006734,0.0006734
69,313.716,1.49844,1.98656,0.97731,0.02195,1.25621,0.71333,0.62208,0.67529,0.42484,0.70939,0.55172,0.58652,0.28093,1.39437,2.15273,1.10766,0.02462,0,0.0006536,0.0006536,0.0006536
70,318.119,1.47144,2.00807,0.95064,0.0208,1.19693,0.82237,0.5987,0.69739,0.44649,0.75991,0.54573,0.6389,0.32508,1.49349,2.18081,1.07926,0.02592,0,0.0006338,0.0006338,0.0006338
71,322.72,1.46831,1.93782,0.9297,0.02126,1.17229,0.75183,0.65292,0.69835,0.4624,0.7103,0.58621,0.61692,0.31166,1.43397,2.24364,1.02907,0.02506,0,0.000614,0.000614,0.000614
